crate,dir_name,primary_lib,repository,version,downloads,updated_at,type,lib_or_app,is_workspace,feature_label,workspace_pathway,owner,test_use,bench_use,total_loc,unsafe_loc,unsafe_pct,test_case_count,api_total,api_covered_pre,api_pct_pre,line_pct_pre,api_covered_post,api_pct_post,line_pct_post,boosted,tests_generated,iterations_used,description
iri-string,iri-string,iri_string,https://github.com/lo48576/iri-string,0.7.8,10094131,2025-03-20T03:01:54.690015Z,Crypto/Security,workspace,True,workspace/all-features,iri-string/tests,AN,TRUE,,8292,105,1.2663,10,145,106,73.1,72.22,132,91.03,77.49,True,5,2,"The 10 tests cover 70.2% of a large 456-method public API and 72.2% of lines across a 16.1K-line workspace with a 3.59% unsafe ratio, indicating that core IRI/URI parsing, resolution, and normalization paths are exercised through a small number of integration-style tests while roughly 136 public methods—likely including component accessors, percent-encoding utilities, and various string-type conversion functions—lack direct coverage. The ~578 lines of unsafe code likely involve unchecked string slicing and transmute-style conversions between validated IRI string types where invariants are a..."
jni,jni,jni,https://github.com/jni-rs/jni-rs,0.21.1,47235320,2023-03-15T14:59:48.461767Z,System/OS,lib,False,all-features,,DO,TRUE,,5237,395,7.5425,23,192,119,62.12,64.22,178,92.71,78.72,True,51,2,"The 23 tests cover 62.1% of a large 293-method public API and 64.2% of lines across a 5.2K-line crate with a notable 7.54% unsafe ratio, indicating that core JNI environment operations—object creation, method invocation, and type conversion—are exercised while roughly 111 public methods spanning array operations, field access, monitor handling, and less-common JNI call variants remain untested. The ~392 lines of unsafe code involve raw JNI FFI calls, pointer-to-jobject conversions, and null-check-dependent dereferences that are particularly sensitive to instrumentation because additional ov..."
jpeg-decoder,jpeg-decoder,jpeg_decoder,https://github.com/image-rs/jpeg-decoder,0.3.1,39796439,2024-01-13T20:16:58.623429Z,Serialization,lib,False,default,,AN,TRUE,TRUE,4221,532,12.6036,23,11,8,72.73,81.16,11,100.0,81.72,True,2,2,"The 23 tests achieve 81.2% line coverage and 65% API coverage across a 4.2K-line crate with a notably high 12.6% unsafe ratio, suggesting the tests exercise the main JPEG decoding pipeline well but leave roughly a third of public API—likely including IDCT, color conversion, and upsampling routines where unsafe buffer manipulation concentrates—without direct coverage. The significant gap between test count and API surface size means many unsafe-heavy internal paths are only exercised incidentally through integration-style decode tests rather than targeted unit tests, making it difficult to i..."
lexical-core,lexical-core,lexical_core,https://github.com/Alexhuszagh/rust-lexical,1.0.5,64906051,2024-12-08T21:01:01.113747Z,Parsing/Text,workspace,True,workspace/default,"lexical-core/lexical-core, lexical-core/lexical-core/tests",AN,FALSE,,27587,284,1.0295,394,6,6,100.0,63.24,6,100.0,63.29,False,0,0,"The 394 tests achieve full 100% API coverage across the crate's narrow 6-function public surface, but only 63.2% line coverage over a large 27.6K-line workspace, indicating that while every public entry point is exercised, substantial internal parsing logic—likely spanning float, integer, and format-specific conversion paths across workspace subcrates—remains untested. The low 1.03% unsafe ratio combined with the large codebase means the ~284 lines of unsafe code are spread thinly and may not be consistently reached by the existing tests, particularly in edge-case parsing branches and buffe..."
libsecp256k1,libsecp256k1,libsecp256k1,https://github.com/paritytech/libsecp256k1,0.7.2,16972960,2025-03-14T15:49:21.842379Z,Crypto/Security,workspace,True,workspace/default,libsecp256k1/tests,AN,TRUE,,4607,30,0.6512,20,44,34,77.27,82.87,44,100.0,90.32,True,4,2,"The 20 tests cover 64.2% of the 53 public API methods and achieve 82.9% line coverage across a 4.6K-line workspace with a low 0.65% unsafe ratio, indicating that core elliptic curve operations—key generation, signing, verification, and recovery—are well-exercised while roughly 19 methods, likely including less-common serialization formats, SharedSecret operations, and some PublicKey/SecretKey conversion accessors, remain untested. The ~30 lines of unsafe code are minimal and likely confined to FFI boundaries or raw byte-to-key conversions, and the 82.9% line coverage suggests these paths ar..."
log,log,log,https://github.com/rust-lang/log,0.4.27,441561306,2025-03-24T09:21:53.062280Z,Utilities,lib,False,default,,DO,TRUE,,3275,64,1.9542,17,42,36,85.71,74.39,36,85.71,74.39,False,0,0,"The test suite covers less than 36% of the public API surface with only 17 tests, which is thin for a crate with 123 public functions/methods, though the 74.4% line coverage suggests the tested paths exercise shared internal logic reasonably well. The small amount of unsafe code (roughly 64 lines) likely involves global logger registration and access via static mutability, and the low API coverage raises concern that edge cases around concurrent logger initialization and the unsafe set_logger/set_max_level paths may not be thoroughly stress-tested. For unsafe instrumentation benchmarking, t..."
loom,loom,loom,https://github.com/tokio-rs/loom,0.7.1,17126028,2024-04-23T09:24:01.042539Z,Concurrency,lib,False,default,,OF,TRUE,,5310,152,2.8625,156,115,73,63.48,79.04,102,88.7,89.04,True,42,2,"The 156 tests achieve 66.9% API coverage and 79% line coverage, which is reasonable for a concurrency permutation testing framework but leaves roughly a third of the public API unexercised—notable given that loom's own correctness is foundational to any downstream concurrency verification. The low unsafe percentage (2.86%) is well-contained, but the coverage gaps mean some code paths involving atomic operations, memory orderings, and internal synchronization primitives may not be fully stress-tested under instrumentation. For use as an unsafe instrumentation benchmark the suite would benefi..."
matrixmultiply,matrixmultiply,matrixmultiply,https://github.com/bluss/matrixmultiply/,0.3.9,41954340,2024-07-27T14:32:50.303402Z,Math/Computing,lib,False,all-features,,AN,TRUE,,3237,1804,55.7306,15,2,2,100.0,91.12,2,100.0,91.12,False,0,0,"The 15 tests achieve an impressive 91.1% line coverage across a 3.2K-line crate where 55.73% of the code is unsafe—meaning roughly 1,780 lines of unsafe pointer arithmetic, SIMD intrinsics, and manual loop tiling for matrix multiplication kernels are actively exercised—but only 63.4% of the 112 public API methods are covered, leaving ~41 functions untested. The extremely high unsafe ratio makes this crate one of the most critical candidates for instrumentation benchmarking, and while the high line coverage confirms the core gemm kernels and packing routines are reached, the uncovered API su..."
memchr,memchr,memchr,https://github.com/BurntSushi/memchr,2.7.4,461981111,2024-06-14T00:17:06.888625Z,Parsing/Text,lib,False,default,,DO,TRUE,,8547,1204,14.0868,141,149,136,91.28,91.31,136,91.28,91.41,False,0,0,"The 141 tests achieve strong 77.0% API coverage and 91.4% line coverage across an 8.5K-line crate with a high 14.09% unsafe ratio, indicating thorough exercise of the core memchr, memchr2, memchr3, and memmem search implementations including SIMD-accelerated paths for SSE2, AVX2, and NEON along with generic fallbacks. The ~1,197 lines of unsafe code spanning vectorized byte search kernels, unaligned loads, and pointer arithmetic are well-covered by the high line coverage, though the 124 untested public methods likely include finder struct configuration variants and less-common iterator adap..."
memmap2,memmap2,memmap2,https://github.com/RazrFalcon/memmap2-rs,0.9.5,110419385,2024-09-13T16:09:38.606497Z,System/OS,lib,False,all-features,,DO,TRUE,,1922,256,13.3195,27,57,52,91.23,84.34,52,91.23,84.34,False,0,0,"The 27 tests cover 81.4% of the public API and 84.3% of lines across a 1.9K-line crate with a substantial 13.32% unsafe ratio, indicating solid exercise of core memory-mapping operations including Mmap, MmapMut, MmapOptions, and advise/flush paths while leaving roughly 16 methods—likely including less-common remapping, locked pages, or platform-specific configuration accessors—untested. The ~253 lines of unsafe code involve direct mmap/munmap syscalls, raw pointer dereferencing for slice construction, and file descriptor handling, and the 84.3% line coverage suggests most of these critical ..."
metrics,metrics,metrics,https://github.com/metrics-rs/metrics,0.24.2,31622416,2025-04-20T17:24:21.832281Z,Utilities,workspace,True,workspace/default,"metrics/metrics, metrics/metrics/tests",DO,,,10905,92,0.8436,17,46,32,69.57,67.38,38,82.61,67.73,True,4,2,"The test suite provides moderate coverage with 17 tests exercising roughly 65% of the 105 public API items and 67% line coverage, leaving a meaningful portion of the crate's surface untested. While the unsafe footprint is small at 0.84%, the gaps in API and line coverage mean that code paths surrounding or depending on unsafe operations may not be adequately validated. For unsafe instrumentation benchmarking, the suite would benefit from augmentation to close the ~35% API coverage gap and ensure all unsafe blocks and their callers are exercised under diverse inputs."
miette,miette,miette,https://github.com/zkat/miette,7.1.0,22025251,2025-04-27T04:53:40.567063Z,Utilities,workspace,True,workspace/all-features,miette/tests,DO,TRUE,,7188,242,3.3667,172,47,36,76.6,79.12,46,97.87,80.79,True,3,2,"The test suite provides reasonable breadth with 172 tests achieving 69.3% API coverage and 79.1% line coverage, exercising the core diagnostic reporting and error handling functionality well. However, roughly 30% of the public API remains untested, and with 3.37% unsafe code (~243 lines), the line coverage gap of ~21% raises concern about whether unsafe regions—likely involved in type erasure or trait object handling—are adequately exercised under diverse inputs. For unsafe instrumentation benchmarking, the suite would benefit from targeted tests that stress unsafe boundaries and edge cases..."
rmp-serde,msgpack-rust,rmp,https://github.com/3Hren/msgpack-rust,0.14.4,41680254,2024-04-30T13:47:27.647844Z,Serialization,workspace,True,ws+extras/default,"msgpack-rust/rmp, msgpack-rust/rmp/tests, msgpack-rust/rmpv-tests",AN,,,6154,2,0.0325,575,55,16,28.33,65.02,55,100.0,65.32,True,2,0,"The 575 tests achieve only 28.3% API coverage and 65.0% line coverage across a 6.2K-line workspace, suggesting the tests heavily exercise core msgpack encode/decode paths through repetitive value-type permutations while leaving the vast majority of the 293 public methods—likely including many typed read/write helpers, ext format handlers, and serde integration entry points across workspace subcrates—without direct coverage. The 0.03% unsafe ratio is essentially zero, meaning unsafe instrumentation concerns are irrelevant for this crate regardless of coverage quality. The suite is adequate f..."
native-tls,native-tls,native_tls,https://github.com/sfackler/rust-native-tls,0.2.14,139109475,2025-02-19T19:24:27.427135Z,Crypto/Security,lib,False,all-features,,AN,TRUE,,2296,28,1.2195,17,32,24,75.0,80.55,30,93.75,85.13,True,2,2,"The 17 tests achieve 80.5% line coverage but only exercise 53.5% of the public API surface, leaving nearly half of the 157 public functions/methods without direct test coverage — a notable gap for a security-critical crate. The low unsafe percentage (1.22%) means the small amount of unsafe code is likely concentrated in platform-specific FFI bindings, which the existing tests appear to cover indirectly through integration-style TLS connection tests rather than targeted unit tests. For unsafe instrumentation benchmarking, the suite would benefit from augmentation with targeted tests for unco..."
ndarray,ndarray,ndarray,https://github.com/rust-ndarray/ndarray,0.16.1,27689103,2024-08-14T17:38:28.979522Z,Math/Computing,workspace,True,primary-only/default,ndarray/tests,AN,TRUE,,16912,952,5.6291,68,61,51,83.61,85.02,51,83.61,85.02,False,0,0,"The test suite achieves solid 85% line coverage and 75.2% API coverage, but with only 68 tests spanning 644 public API items, individual tests are likely broad integration-style exercises that touch multiple methods per test rather than isolating specific behaviors. The roughly 160 uncovered API surface items and 15% uncovered lines are a concern given the 5.63% unsafe code ratio, as ndarray's unsafe usage typically involves raw pointer arithmetic, unchecked indexing, and memory layout manipulation that benefit from targeted edge-case testing. For unsafe instrumentation benchmarking, the su..."
nom,nom,nom,https://github.com/rust-bakery/nom,8.0.0,257298806,2025-01-26T16:03:28.068915Z,Parsing/Text,workspace,True,workspace/default,nom/tests,AN,FALSE,,13682,26,0.19,208,317,245,77.29,80.14,272,85.8,83.22,True,4,2,"The 208 tests cover 67.4% of the large 559-method public API and achieve 80.1% line coverage across 13.7K lines, indicating thorough exercise of core parser combinators, byte-level matchers, and character parsers while leaving roughly 182 public functions—likely including many streaming-mode variants, lesser-used combinators like permutation and fold_many, and input-trait-specific implementations—without direct coverage. The 0.19% unsafe ratio is negligible, amounting to roughly 26 lines that are almost certainly within the well-covered parsing core, making unsafe instrumentation risk minim..."
nu-ansi-term,nu-ansi-term,nu_ansi_term,https://github.com/nushell/nu-ansi-term,0.50.1,138136058,2024-07-23T22:20:55.095113Z,Utilities,lib,False,default,,DO,,,1595,35,2.1944,69,51,36,70.59,68.9,46,90.2,80.89,True,8,2,"The 69 tests cover 62.8% of the public API and 68.9% of lines across a 1.6K-line crate with a 2.19% unsafe ratio, indicating that core ANSI styling, color application, and string painting methods are exercised while roughly 32 methods—likely including individual color constructors, style modifier accessors, and platform-specific terminal handling—remain untested. The ~35 lines of unsafe code are likely related to Windows console API interactions or raw terminal escape sequence writing, and the 68.9% line coverage leaves meaningful uncertainty about whether these unsafe paths are fully reach..."
num-bigint,num-bigint,num_bigint,https://github.com/rust-num/num-bigint,0.4.6,205252282,2025-01-25T00:26:55.294210Z,Math/Computing,lib,False,default,,AN,TRUE,,7415,28,0.3776,15,70,61,87.14,86.42,61,87.14,86.42,False,0,0,"The test suite achieves strong line coverage at 86.4% and covers 163 of 197 public API endpoints, which is respectable for a big integer library with extensive arithmetic operations. With only 0.38% unsafe code and 15 tests, the suite likely relies on a small number of comprehensive, parameterized tests rather than many isolated unit tests, though the 34 uncovered API functions represent a notable gap that could include edge cases around memory-sensitive operations. The minimal unsafe footprint means the suite is largely adequate for instrumentation benchmarking, but augmenting coverage for..."
ordered-float,ordered-float,ordered_float,https://github.com/reem/rust-ordered-float,5.0.0,133189946,2025-02-17T23:54:22.687988Z,Math/Computing,lib,False,default,,AN,FALSE,,2354,5,0.2124,62,6,4,66.67,34.71,6,100.0,35.42,True,3,2,"The 62 tests cover less than 35% of lines and only 40% of the public API surface, indicating significant portions of the crate's functionality—likely trait implementations, edge cases, and conversion paths—go unexercised. While the unsafe footprint is minimal at 0.21%, the low overall coverage means the code paths surrounding or depending on unsafe operations may not be adequately stressed, making it difficult to confidently benchmark instrumentation overhead in realistic scenarios. The suite would benefit from substantial augmentation, particularly targeting untested API methods and achiev..."
ordered-multimap,ordered-multimap,ordered_multimap,https://github.com/sgodwincs/ordered-multimap-rs,0.7.3,33585837,2024-04-01T10:34:17.349186Z,Data Structures,lib,False,all-features,,AN,TRUE,,3371,6,0.178,113,76,64,84.21,93.98,64,84.21,93.98,False,0,0,"The test suite is solid with 113 tests achieving 94.0% line coverage and exercising roughly 69% of the public API, indicating thorough testing of core data structure operations with some peripheral methods left uncovered. The extremely low unsafe usage (0.18%) means the untested API surface is unlikely to involve unsafe code paths, reducing risk from the coverage gap. The suite is adequate for unsafe instrumentation benchmarking as-is, though closing the ~31% API coverage gap would strengthen confidence in edge-case behavior around iteration, entry APIs, or less common accessors."
os_info,os_info,os_info,https://github.com/stanislav-tkach/os_info,3.10.0,22384456,2025-02-09T07:56:22.094088Z,System/OS,workspace,True,workspace/default,"os_info/os_info, os_info/os_info/tests",DO,,,2833,37,1.306,93,10,10,100.0,98.27,10,100.0,98.27,False,0,0,"The 93 tests achieve an exceptional 98.3% line coverage across a 2.8K-line crate with a low 1.31% unsafe ratio, indicating near-complete exercise of OS detection logic, version parsing, and platform-specific identification paths despite only 67.7% of the public API being directly covered. The small amount of unsafe code—likely FFI calls to platform APIs for retrieving OS version information—is almost certainly reached within the 98.3% covered lines, making instrumentation risk minimal and well-validated. The suite is highly adequate for unsafe instrumentation benchmarking given the near-tot..."
ouroboros,ouroboros,ouroboros,https://github.com/someguynamedjosh/ouroboros,0.18.5,32633128,2025-01-11T04:16:42.134017Z,Utilities,workspace,True,workspace/default,"ouroboros/ouroboros, ouroboros/examples",DO,,,2674,23,0.8601,17,4,4,100.0,86.59,4,100.0,86.59,False,0,0,"The 17 tests cover 4 of 6 public API methods and achieve 86.6% line coverage across a 2.7K-line workspace with a low 0.86% unsafe ratio, indicating that the core self-referential struct macro—including construction, borrowing of dependent fields, and drop correctness—is well-exercised while 2 public methods, likely a builder variant or head mutation accessor, remain untested. The ~23 lines of unsafe code are central to ouroboros's purpose, involving raw pointer stabilization and self-referential field access where lifetime guarantees are manually enforced, and the 86.6% line coverage sugges..."
parity-scale-codec,parity-scale-codec,parity_scale_codec,https://github.com/paritytech/parity-scale-codec,3.7.4,25298949,2025-02-07T08:40:25.109361Z,Serialization,workspace,True,workspace/all-features,parity-scale-codec/tests,AN,FALSE,,5737,23,0.4009,81,7,7,100.0,89.35,7,100.0,89.35,False,0,0,"The 81 tests achieve a strong 89.4% line coverage despite only covering 60.7% of the public API, indicating the core encode/decode paths are thoroughly exercised while many trait-derived and auxiliary methods remain untested. The 0.4% unsafe ratio is minimal, meaning the small amount of unsafe code—likely in low-level byte slicing or compact encoding—is almost certainly reached by the high line coverage, reducing the risk of blind spots for instrumentation. The suite is largely adequate for unsafe instrumentation benchmarking given the high line coverage over a small unsafe surface, though ..."
parking_lot,parking_lot,parking_lot,https://github.com/Amanieu/parking_lot,0.12.3,351333004,2024-05-24T22:26:24.893817Z,Concurrency,workspace,False,default,"parking-lot/core,",OF,TRUE,TRUE,3563,164,4.6029,97,20,10,50.0,66.72,15,75.0,70.53,True,14,3,"The 97 tests cover core concurrency primitives (Mutex, RwLock, Condvar, Once, etc.) but only reach 53% API coverage and 67% line coverage, leaving significant portions of the public interface and internal logic unexercised. For a concurrency crate where unsafe code underpins lock acquisition, poisoning, and memory ordering, the gaps in coverage are concerning—edge cases around contention paths, timeout behaviors, and unsafe atomic operations likely lack thorough validation. The suite would need augmentation with targeted stress tests for uncovered APIs and adversarial concurrent scenarios t..."
petgraph,petgraph,petgraph,https://github.com/petgraph/petgraph,0.8.1,157653628,2025-04-07T09:58:12.070960Z,Data Structures,workspace,True,workspace/all-features,petgraph/tests,AN,TRUE,,16409,45,0.2742,78,339,278,82.01,83.33,278,82.01,83.33,False,0,0,"The 78 tests cover 65.2% of a very large 712-method API surface and achieve 83.3% line coverage across 16.4K lines, indicating the core graph algorithms—traversals, shortest paths, topological sort, and connected components—along with primary graph types are well-exercised, while many iterator, index, builder, and edge-case accessor methods across Graph, StableGraph, GraphMap, and matrix representations remain untested. The 0.27% unsafe ratio is minimal, likely confined to a few unchecked indexing or raw pointer operations in performance-critical graph internals, and the 83.3% line coverage..."
pin-project-lite,pin-project-lite,pin_project_lite,https://github.com/taiki-e/pin-project-lite,0.2.16,334736834,2025-01-06T12:20:51.767173Z,Utilities,workspace,True,workspace/default,"pin-project-lite/tests, pin-project-lite/tests/no-core, pin-project-lite/tests/no-std, pin-project-lite/tests/lint",DO,,,1239,6,0.4843,35,1,1,100.0,89.89,1,100.0,89.89,False,0,0,"The 35 tests fully cover the single public macro entry point and achieve 89.9% line coverage across a compact 1.2K-line crate, indicating thorough exercise of the macro-generated pin projection code including struct and enum variants, field visibility, and drop guarantees. The 0.48% unsafe ratio corresponds to a handful of lines in the generated unsafe pin projection accessors, which the high line coverage strongly suggests are well-exercised across the test suite's various expansion scenarios. The suite is adequate for unsafe instrumentation benchmarking given its high coverage of the narr..."
polling,polling,polling,https://github.com/smol-rs/polling,3.7.4,93458978,2024-11-07T15:28:40.971957Z,Async/Network,lib,False,default,,OF,TRUE,,3787,266,7.024,36,32,21,65.62,66.44,32,100.0,79.22,True,12,2,"The 36 tests achieve 66.4% line coverage and exercise only 39.3% of the public API surface, leaving significant portions of the polling interface untested, which is concerning for a crate that wraps platform-specific I/O primitives with unsafe FFI calls. The ~7% unsafe code likely resides in platform-specific backends (epoll, kqueue, IOCP) where the coverage gaps are most dangerous, as subtle misuse of raw file descriptors or system call wrappers would go undetected. The suite requires substantial augmentation—particularly targeted tests for unsafe boundaries, edge cases in poller lifecycle..."
portable-atomic,portable-atomic,portable_atomic,https://github.com/taiki-e/portable-atomic,1.11.0,84664201,2025-02-24T13:31:07.731833Z,Concurrency,workspace,True,workspace/default,portable-atomic/tests,OF,TRUE,,21913,6741,30.7626,1003,422,418,99.05,92.06,418,99.05,92.06,False,0,0,"The 1003 tests achieve an impressive 92.1% line coverage across a large 21.9K-line crate with a very high 30.76% unsafe ratio, demonstrating thorough exercise of atomic operation implementations despite only 51.4% of the public API being directly covered—a gap explained by the highly repetitive API surface where each atomic type exposes identical method sets and a subset of types likely serves as proxy coverage for the rest. The ~6,700 lines of unsafe code spanning inline assembly, platform-specific atomic intrinsics, and fallback lock-based implementations are well-exercised by line covera..."
postcard,postcard,postcard,,1.1.1,10443978,2024-11-29T20:05:07.001596Z,,,True,workspace/default,,,,,6252,33,0.5278,,21,19,90.48,72.24,19,90.48,72.24,False,0,0,
pulldown-cmark,pulldown-cmark,pulldown_cmark,https://github.com/pulldown-cmark/pulldown-cmark,0.13.0,39549688,2025-02-12T16:13:01.983822Z,Parsing/Text,workspace,True,workspace/all-features,"pulldown-cmark/pulldown-cmark, pulldown-cmark/pulldown-cmark/tests",AN,FALSE,,12788,246,1.9237,59,22,12,54.55,82.63,22,100.0,83.74,True,5,2,"The 59 tests cover 75.0% of the 268 public API methods and achieve 82.6% line coverage across a 12.8K-line workspace with a moderate 1.92% unsafe ratio, indicating thorough exercise of the core Markdown parsing pipeline—heading, list, code block, link, and emphasis handling—while roughly 67 methods, likely including less-common event accessors, HTML rendering options, and footnote/table extension configurations, remain untested. The ~246 lines of unsafe code likely involve performance-critical string slicing with unchecked offsets into the input document and possibly SIMD-assisted scanning ..."
rand,rand,rand,https://github.com/rust-random/rand,0.9.1,33936290,2025-04-17T14:36:20.415123Z,Crypto/Security,workspace,True,workspace/default,rand/tests,AN,TRUE,,8057,27,0.3351,148,31,24,77.42,87.84,30,96.77,88.79,True,13,2,"The test suite achieves strong line coverage at 87.8% but only exercises 62.4% of the public API surface, leaving roughly 53 public functions/methods untested, which could matter if any sit on paths touching the small amount of unsafe code. The 0.34% unsafe footprint is minimal, but given rand's role as a foundational crate in security-sensitive contexts, the gaps in API coverage warrant attention to ensure all unsafe blocks (likely in platform-specific RNG seeding or transmutation) are exercised under instrumentation. The suite is a reasonable baseline for unsafe instrumentation benchmarki..."
rayon-core,rayon-core,rayon_core,https://github.com/rayon-rs/rayon,1.12.1,193663701,2024-01-17T17:56:12.833437Z,Concurrency,lib,False,default,,OF,TRUE,,4129,349,8.4524,139,66,47,71.13,93.75,66,100.0,94.92,True,80,0,"The 139 tests achieve an excellent 93.8% line coverage across a 4.1K-line crate with a significant 8.45% unsafe ratio, and cover 71.1% of the large 381-method public API, indicating thorough exercise of the core thread pool, work-stealing deques, job scheduling, and join/scope primitives while roughly 110 public methods—likely including less-common ThreadPoolBuilder configurations, custom spawn handlers, and broadcast/yield_local variants—remain untested. The ~346 lines of unsafe code span lock-free deque operations, raw job pointer passing between threads, and stack-pinned scope lifetime e..."
rgb,rgb,rgb,https://github.com/kornelski/rust-rgb,0.8.90-alpha.2,30653549,2024-08-31T03:07:05.678857Z,Utilities,lib,False,all-features,,DO,TRUE,,2751,51,1.8539,27,3,1,33.33,67.25,3,100.0,69.4,True,20,2,"The test suite covers less than half the public API (43 of 100 functions) with 67.2% line coverage, leaving significant portions of the crate unexercised, which is notably thin for a utility crate of this size. With 1.85% unsafe code and only 27 tests, there is a meaningful risk that unsafe transmutations or pointer operations—common in RGB pixel type conversions—lack dedicated edge-case testing. The suite would need augmentation to adequately serve as a baseline for unsafe instrumentation benchmarking, particularly with targeted tests for memory layout assumptions, slice casting, and bound..."
ring,ring,ring,https://github.com/briansmith/ring,0.17.14,235558709,2025-03-11T19:42:03.889273Z,Crypto/Security,workspace,True,workspace/all-features,ring/tests,AN,TRUE,,16050,576,3.5888,94,91,84,92.31,87.9,84,92.31,87.9,False,0,0,"The 94 tests cover 68.6% of a very large 828-method public API and achieve 87.9% line coverage across a 16.1K-line workspace with a 3.59% unsafe ratio, indicating that core cryptographic operations—AEAD encryption/decryption, digest hashing, key agreement, and signature verification—are thoroughly exercised while roughly 260 public methods, likely including less-common key format accessors, algorithm-specific configuration variants, and PBKDF2/HKDF parameter combinations, lack direct coverage. The ~578 lines of unsafe code involve FFI calls into the BoringSSL/assembly backend, raw pointer h..."
rmp,rmp,rmp,https://crates.io/crates/rmp,0.8.9,45493477,2024-04-17T14:31:54.130496Z,Serialization,workspace,False,default,Run in Workspace,AN,,,6154,2,0.0325,575,55,51,92.73,81.79,51,92.73,81.79,False,0,0,"The test suite is robust with 575 tests covering 85.2% of the public API and achieving 81.8% line coverage, providing thorough exercise of MessagePack encoding and decoding paths across the 88 public functions. With only 0.03% unsafe code, the minimal unsafe surface is likely adequately covered by the existing tests, and the high test count relative to API size suggests good edge-case coverage for serialization boundary conditions. The suite is well-suited for unsafe instrumentation benchmarking without augmentation, as the near-negligible unsafe footprint and strong overall coverage mean o..."
ron,ron,ron,https://github.com/ron-rs/ron,0.10.1,33767632,2025-04-08T07:02:24.205823Z,Serialization,lib,False,all-features,,AN,TRUE,,7223,7,0.0969,109,90,83,92.22,91.69,83,92.22,91.69,False,0,0,"The test suite achieves strong line coverage at 91.7% with 109 tests exercising 79% of the public API, providing solid coverage of serialization and deserialization paths for the RON format. The 0.1% unsafe footprint is minimal, meaning unsafe instrumentation overhead measurement would have very limited scope, though the high baseline coverage ensures that any instrumented paths are well-exercised by existing tests. The suite is adequate for benchmarking purposes without augmentation, as the uncovered 21% of API surface likely represents convenience wrappers or edge-case utilities that woul..."
openssl,rust-openssl,openssl,https://github.com/sfackler/rust-openssl,openssl-v0.10.72,165025976,2025-04-30T23:08:39.759466Z,Crypto/Security,workspace,True,workspace/default,"rust-openssl/openssl, rust-openssl/openssl/tests",AN,TRUE,,34835,6333,18.18,466,1156,852,73.7,78.17,945,81.75,80.05,True,5,2,"The 466 tests achieve 78.2% line coverage and exercise roughly 70% of the public API, which is reasonable for an FFI-heavy crypto binding crate but leaves about 470 public functions untested, likely including less common cipher modes, X509 extension handling, and error-path logic. The 18.18% unsafe ratio is concentrated in FFI boundary code where memory ownership, pointer validity, and OpenSSL refcounting semantics are critical, and the ~22% of uncovered lines likely intersect with these unsafe regions, particularly around resource cleanup and error handling paths. For unsafe instrumentatio..."
rustc-demangle,rustc-demangle,rustc_demangle,https://github.com/rust-lang/rustc-demangle,0.1.24,211746300,2024-05-07T12:12:25.371782Z,System/OS,workspace,True,workspace/default,rustc-demangle/tests,DO,TRUE,FALSE,2145,109,5.0816,55,3,2,66.67,90.72,3,100.0,91.11,True,1,3,"The test suite achieves strong line coverage at 90.7% across 55 tests, effectively exercising the core demangling logic for both legacy and v0 Rust symbol mangling schemes, though 30% of the public API surface (18 functions/methods) remains untested. The relatively low unsafe percentage (5.08%) combined with high line coverage suggests the unsafe regions—likely raw string/byte manipulation in the parsing paths—are reasonably well-exercised, but the API coverage gap means some public entry points or formatting methods lack direct test validation. The suite is adequate as a baseline for unsaf..."
scroll,scroll,scroll,https://github.com/m4b/scroll,0.12.0,20841209,2024-01-01T00:36:31.272401Z,Serialization,lib,False,default,,AN,FALSE,,1475,9,0.6102,43,8,4,50.0,72.15,7,87.5,75.21,True,3,2,"The 43 tests achieve 72.1% line coverage but only 23.7% API coverage, meaning the tests exercise a small core of read/write operations while leaving 29 of 38 public methods—likely including various Pread, Pwrite, and Gread/Gwrite trait implementations for different endianness and container types—completely untested. The 0.61% unsafe ratio is low and the unsafe code likely resides in transmute-style byte-to-type conversions that the tested core paths probably reach, but the extremely low API coverage means most public entry points into those paths are unvalidated. The suite is insufficient f..."
semver,semver,semver,https://github.com/dtolnay/semver,1.0.26,368206296,2025-03-04T00:15:02.937867Z,Utilities,lib,False,default,,DO,TRUE,,1367,142,10.3877,38,13,12,92.31,91.74,12,92.31,91.74,False,0,0,"The test suite achieves strong line coverage at 91.7% and covers three-quarters of the public API, exercising the core version parsing, comparison, and requirement matching logic well. However, with 10.39% unsafe code and roughly 15 public functions/methods untested, there is a meaningful gap — the uncovered API surface may overlap with unsafe code paths (likely in parsing or internal representation optimizations) that would benefit from targeted tests. For unsafe instrumentation benchmarking, the suite provides a solid baseline but should be augmented with tests specifically targeting the ..."
serde_with,serde_with,serde_with,https://github.com/jonasbb/serde_with,3.12.0,108458644,2024-12-25T22:01:32.382863Z,Serialization,workspace,True,ws+extras/all-features,"serde_with/serde_with, serde_with/serde_with/tests, serde_with/serde_with_test",AN,FALSE,,13472,4,0.0297,214,3,2,66.67,57.03,3,100.0,57.12,True,1,2,"The 214 tests cover only 32.9% of the 216 public API methods and 57.0% of lines across a 13.5K-line workspace, indicating that while core serialization adapters like DisplayFromStr, hex, and timestamp formats are exercised, the majority of serde_with's extensive adapter and helper surface—likely including many As, FromInto, TryFromInto, and collection-specific transform variants—lack direct testing. The 0.03% unsafe ratio is essentially zero, meaning unsafe instrumentation concerns are negligible for this crate regardless of coverage quality. The suite is adequate for unsafe instrumentation..."
